name,smiles,class_auc,cell_line,
Fimepinostat,COC1=CC=C(C=N1)C1=NC(N2CCOCC2)=C2SC(CN(C)C3=NC=C(C=N3)C(=O)NO)=CC2=N1,low,HS578T_BREAST,
Cilengitide,CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,high,HS578T_BREAST
4-Hydroxytamoxifen,OC1=CC=C(C=C1)C(C)C2=CC=C(C=C2)OCCN(C)C.CCC(C)C3=CC=CC=C3,high,HS578T_BREAST
Trametinib,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,low,HCT116_LARGE_INTESTINE,
Fluorodeoxyuridine,OCC1OC(CC1O)N1C=C(F)C(=O)NC1=O,high,HCT116_LARGE_INTESTINE
Sch772984,C1CN(C[C@@H]1C(=O)NC2=CC3=C(C=C2)NN=C3C4=CC=NC=C4)CC(=O)N5CCN(CC5)C6=CC=C(C=C6)C7=NC=CC=N7,low,SKMEL2_SKIN
Ly-3009120,CC1=CC(=C(C=C1C2=C(N=C3C(=C2)C=NC(=N3)NC)C)NC(=O)NCCC(C)(C)C)F,low,SKMEL2_SKIN,CDK4
Vemurafenib,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,high,SKMEL2_SKIN
Cobimetinib,C1CCN[C@@H](C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O,high,SKMEL2_SKIN,


